sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
4 - 1,1497/2543,965,ที่ดินว่างเปล่า,30,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=965&addrno=-
4 - 1,1497/2543,966,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=966&addrno=-
4 - 1,1497/2543,967,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=967&addrno=-
4 - 1,1497/2543,968,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=968&addrno=-
4 - 1,1497/2543,969,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=969&addrno=-
4 - 1,1497/2543,970,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=970&addrno=-
4 - 1,1497/2543,971,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=971&addrno=-
4 - 1,1497/2543,972,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=972&addrno=-
4 - 1,1497/2543,973,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=973&addrno=-
4 - 1,1497/2543,975,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=975&addrno=-
4 - 1,1497/2543,976,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=976&addrno=-
4 - 1,1497/2543,977,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=977&addrno=-
4 - 1,1497/2543,978,ที่ดินว่างเปล่า,50,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=978&addrno=-
