sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
39 - 1,ผบ.4/2566,9478,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,พัฒนานิคม,พัฒนานิคม,ลพบุรี,50000,ปลอดการจำนอง,337012,2024-06-03,20240618,ขายได้,"['20240507', '20240528', '20240618', '20240709', '20240730', '20240820']",3,0,337012,https://asset.led.go.th/PPKPicture/2567/02-2567/06/9478p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/06/9478j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4&law_suit_year=2566&deed_no=9478&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,21/3"
39 - 1,ผบ.180/2554,83515,ที่ดินว่างเปล่า,77,3,3,นิคมสร้างตนเอง,เมืองลพบุรี,ลพบุรี,25000,ปลอดภาระผูกพัน,473100,2024-06-03,20240604,-,"['20240604', '20240625', '20240716', '20240806', '20240827', '20240917']",1,0,473100,https://asset.led.go.th/PPKPicture/2567/03-2567/07/83515p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/07/83515j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.180&law_suit_year=2554&deed_no=83515&addrno=-
39 - 1,ผบ.202/2559,61387,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,0,เขาสามยอด,เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,2364920,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,2364920,https://asset.led.go.th/PPKPicture/2567/05-2567/01/61387p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/01/61387j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.202&law_suit_year=2559&deed_no=61387&addrno=18/4,%20%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
39 - 1,ผบE.594/2565,12129,ที่ดินว่างเปล่า,25.1,1,0,โคกสลุง,พัฒนานิคม,ลพบุรี,4000,ปลอดภาระผูกพัน,25020,2024-06-03,20240716,-,"['20240716', '20240806', '20240827', '20240917', '20241008', '20241029']",1,0,25020,https://asset.led.go.th/PPKPicture/2567/04-2567/19/12129p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/19/12129j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.594&law_suit_year=2565&deed_no=12129&addrno=-
39 - 1,ผบE.647/2565,226,ที่ดินพร้อมสิ่งปลูกสร้าง,26,0,0,กกโก,เมืองลพบุรี,ลพบุรี,25000,ปลอดการจำนอง,447900,2024-06-03,20240618,ขายได้,"['20240305', '20240326', '20240412', '20240507', '20240528', '20240618']",6,3,313530,https://asset.led.go.th/PPKPicture/2566/12-2566/06/226p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/06/226j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.647&law_suit_year=2565&deed_no=226&addrno=97
39 - 1,ผบ.443/2562,51756,ที่ดินพร้อมสิ่งปลูกสร้าง,30,0,0,ห้วยโป่ง,โคกสำโรง,ลพบุรี,5000,การจำนองติดไป,283750,2024-06-03,20240611,-,"['20240409', '20240430', '20240521', '20240611', '20240702', '20240723']",4,3,198625,https://asset.led.go.th/PPKPicture/2567/01-2567/10/51756p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/10/51756j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.443&law_suit_year=2562&deed_no=51756&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
39 - 1,ผบE.2899/2565,99334,ที่ดินพร้อมสิ่งปลูกสร้าง,83,0,0,โก่งธนู,เมืองลพบุรี,ลพบุรี,25000,ปลอดการจำนอง,286600,2024-06-03,20240702,-,"['20240702', '20240723', '20240813', '20240903', '20240924', '20241015']",1,0,286600,https://asset.led.go.th/PPKPicture/2567/04-2567/05/99334p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/05/99334j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2899&law_suit_year=2565&deed_no=99334&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
39 - 1,ผบE.2573/2566,6775,ที่ดินพร้อมสิ่งปลูกสร้าง,55,3,0,ชอนสมบูรณ์,หนองม่วง,ลพบุรี,50000,ปลอดภาระผูกพัน,756250,2024-06-03,20240611,ถอนการยึด,"['20240319', '20240409', '20240430', '20240521', '20240611', '20240702']",5,0,756250,https://asset.led.go.th/PPKPicture/2566/12-2566/20/6775p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/20/6775j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2573&law_suit_year=2566&deed_no=6775&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
39 - 1,ผบE.4352/2565,33719,ที่ดินพร้อมสิ่งปลูกสร้าง,32,1,0,สะแกราบ,โคกสำโรง,ลพบุรี,25000,ปลอดภาระผูกพัน,473200,2024-06-03,20240611,ถอนการยึด,"['20240521', '20240611', '20240702', '20240723', '20240813', '20240903']",2,0,473200,https://asset.led.go.th/PPKPicture/2567/02-2567/21/33719p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/21/33719j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4352&law_suit_year=2565&deed_no=33719&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
39 - 1,ผบ.5946/2561,1493,ที่ดินพร้อมสิ่งปลูกสร้าง,66,0,0,ท่าศาลา,เมืองลพบุรี,ลพบุรี,50000,ปลอดภาระผูกพัน,868650,2024-06-03,20240618,ถอนการยึด,"['20240618', '20240709', '20240730', '20240820', '20240910', '20241001']",1,0,868650,https://asset.led.go.th/PPKPicture/2567/03-2567/22/1493p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/22/1493j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5946&law_suit_year=2561&deed_no=1493&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
