sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
3 - 1,ผบE.10985/2565,166471,ที่ดินพร้อมสิ่งปลูกสร้าง,22.5,0,0,บางรักพัฒนา,บางบัวทอง,นนทบุรี,25000,การจำนองติดไป,1968600,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,1968600,https://asset.led.go.th/PPKPicture/2567/04-2567/10/166471p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/166471j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.10985&law_suit_year=2565&deed_no=166471&addrno=89/728
3 - 1,ผบ.977/2564,81383,ห้องชุด,27.35,0,0,บางเขน,เมืองนนทบุรี,นนทบุรี,10000,การจำนองติดไป,1430405,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,1430405,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c206-206p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c206-206j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.977&law_suit_year=2564&deed_no=81383&addrno=206/206
3 - 1,ผบE.4920/2565,67651,ที่ดินพร้อมสิ่งปลูกสร้าง,17,0,0,คลองเกลือ,ปากเกร็ด,นนทบุรี,150000,ปลอดภาระผูกพัน,2227088,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,2227088,https://asset.led.go.th/PPKPicture/2567/05-2567/24/67651p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/67651j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4920&law_suit_year=2565&deed_no=67651&addrno=99/236
3 - 1,ผบE.4920/2565,67651,ที่ดินพร้อมสิ่งปลูกสร้าง,17,0,0,คลองเกลือ,ปากเกร็ด,นนทบุรี,150000,ปลอดภาระผูกพัน,2227088,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,2227088,https://asset.led.go.th/PPKPicture/2567/05-2567/24/67651p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/67651j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4920&law_suit_year=2565&deed_no=67651&addrno=99/236
4 - 1,ผบ.1396/2562,32898,ที่ดินพร้อมสิ่งปลูกสร้าง,62.1,0,0,บางตะไนย์,ปากเกร็ด,นนทบุรี,250000,ปลอดการจำนอง,3455460,2024-06-03,20240606,ขายได้,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,3455460,https://asset.led.go.th/PPKPicture/2567/02-2567/20/32898p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/32898j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1396&law_suit_year=2562&deed_no=32898&addrno=89/589
4 - 1,ผบE.2767/2565,212490,ที่ดินพร้อมสิ่งปลูกสร้าง,59.8,0,0,บางรักน้อย,เมืองนนทบุรี,นนทบุรี,500000,ปลอดการจำนอง,5628480,2024-06-03,20240620,-,"['20240328', '20240418', '20240509', '20240530', '20240620', '20240711']",5,0,5628480,https://asset.led.go.th/PPKPicture/2567/01-2567/23/212490p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/23/212490j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2767&law_suit_year=2565&deed_no=212490&addrno=129/435
4 - 1,2467/2547,18370,ที่ดินพร้อมสิ่งปลูกสร้าง,22,0,0,บ้านใหม่,ปากเกร็ด,นนทบุรี,150000,ปลอดการจำนอง,1083500,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,1083500,https://asset.led.go.th/PPKPicture/2567/05-2567/24/18370p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/18370j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=2467&law_suit_year=2547&deed_no=18370&addrno=72/250
4 - 1,พ.954/2562,84454,ที่ดินพร้อมสิ่งปลูกสร้าง,97,0,0,บางใหญ่,บางใหญ่,นนทบุรี,150000,ปลอดการจำนอง,2370750,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,2370750,https://asset.led.go.th/PPKPicture/2567/03-2567/12/84454p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/84454j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.954&law_suit_year=2562&deed_no=84454&addrno=33/3
4 - 1,ผบE.4636/2565,187486,ที่ดินพร้อมสิ่งปลูกสร้าง,17.6,0,0,บางรักพัฒนา,บางบัวทอง,นนทบุรี,25000,การจำนองติดไป,1338516,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,1338516,https://asset.led.go.th/PPKPicture/2567/04-2567/10/187486p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/187486j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4636&law_suit_year=2565&deed_no=187486&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,95/175"
4 - 1,ผบE.6092/2565,3218,ห้องชุด,26.08,0,0,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,25000,การจำนองติดไป,1244016,2024-06-03,20240606,-,"['20240314', '20240404', '20240425', '20240516', '20240606', '20240627']",5,0,1244016,https://asset.led.go.th/PPKPicture/2567/01-2567/15/c92-716p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/15/c92-716j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.6092&law_suit_year=2565&deed_no=3218&addrno=92/716
