sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
4 - 1,ผบE.596/2565,89346,ที่ดินพร้อมสิ่งปลูกสร้าง,23.6,0,0,นามะตูม,พนัสนิคม,ชลบุรี,10000,การจำนองติดไป,672242,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,1,605017,https://asset.led.go.th/PPKPicture/2567/03-2567/21/89346p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/89346j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.596&law_suit_year=2565&deed_no=89346&addrno=44/23
4 - 1,ผบ.1078/2558,227258,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1099020,2024-06-03,20240611,-,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,3,769314,https://asset.led.go.th/PPKPicture/2566/12-2566/18/227258p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/227258j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1078&law_suit_year=2558&deed_no=227258&addrno=168/27
5 - 1,ผบ.2608/2561,168615,ห้องชุด,36.74,0,0,แสนสุข,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1150798,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1150798,https://asset.led.go.th/PPKPicture/2567/04-2567/18/c17-207p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/c17-207j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2608&law_suit_year=2561&deed_no=168615&addrno=17/207
5 - 1,ผบ.457/2565,192099,ที่ดินพร้อมสิ่งปลูกสร้าง,43.5,0,0,สุรศักดิ์,ศรีราชา,ชลบุรี,50000,ปลอดการจำนอง,888960,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,888960,https://asset.led.go.th/PPKPicture/2567/03-2567/21/192099p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/192099j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.457&law_suit_year=2565&deed_no=192099&addrno=153/91
5 - 1,ผบ.8696/2562,131430,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1428272,2024-06-03,20240618,-,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,3,999790,https://asset.led.go.th/PPKPicture/2567/01-2567/17/131430p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/131430j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.8696&law_suit_year=2562&deed_no=131430&addrno=222/143
5 - 1,ผบ.3778/2562,82124,ที่ดินพร้อมสิ่งปลูกสร้าง,24,0,0,บ้านเซิด,พนัสนิคม,ชลบุรี,10000,การจำนองติดไป,445248,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,445248,https://asset.led.go.th/PPKPicture/2567/05-2567/15/82124p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/82124j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3778&law_suit_year=2562&deed_no=82124&addrno=58/145
5 - 1,ผบ.3602/2560,172219,ห้องชุด,27.95,0,0,แสนสุข,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1121296,2024-06-03,20240611,-,"['20240430', '20240521', '20240611', '20240702', '20240723', '20240813']",3,0,1121296,https://asset.led.go.th/PPKPicture/2567/02-2567/16/c30-98p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/16/c30-98j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3602&law_suit_year=2560&deed_no=172219&addrno=30/98
5 - 1,ผบ.949/2554,216244,ที่ดินพร้อมสิ่งปลูกสร้าง,16.5,0,0,หนองขาม,ศรีราชา,ชลบุรี,10000,การจำนองติดไป,857498,2024-06-03,20240611,-,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,3,600248,https://asset.led.go.th/PPKPicture/2566/12-2566/18/216244p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/216244j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.949&law_suit_year=2554&deed_no=216244&addrno=29/34
6 - 1,ผบE.653/2566,205809,ที่ดินพร้อมสิ่งปลูกสร้าง,20.6,0,0,นาป่า,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1581530,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1581530,https://asset.led.go.th/PPKPicture/2567/04-2567/18/205809p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/205809j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.653&law_suit_year=2566&deed_no=205809&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,66/53"
6 - 1,ผบE.3178/2564,33779,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,หนองตำลึง,พานทอง,ชลบุรี,10000,การจำนองติดไป,581024,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,581024,https://asset.led.go.th/PPKPicture/2567/05-2567/15/33779p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/33779j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3178&law_suit_year=2564&deed_no=33779&addrno=1/327
