sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
4 - 1,ผบE.1668/2563,155240,ที่ดินพร้อมสิ่งปลูกสร้าง,26.9,0,0,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1278492,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,1150642,https://asset.led.go.th/PPKPicture/2567/02-2567/29/155240p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/155240j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1668&law_suit_year=2563&deed_no=155240&addrno=188/264
5 - 1,ผบE.4012/2565,90660,ที่ดินพร้อมสิ่งปลูกสร้าง,97,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1449444,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,1,1304499,https://asset.led.go.th/PPKPicture/2566/11-2566/30/90660p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/90660j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4012&law_suit_year=2565&deed_no=90660&addrno=19/88
5 - 1,ผบ.3897/2557,24070,ห้องชุด,32,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,ปลอดภาระผูกพัน,259200,2024-06-03,20240605,-,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,2,207360,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c345-250p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c345-250j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3897&law_suit_year=2557&deed_no=24070&addrno=345/250
5 - 1,ผบ.2168/2562,35442,ที่ดินพร้อมสิ่งปลูกสร้าง,17.6,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,693440,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,693440,https://asset.led.go.th/PPKPicture/2567/02-2567/29/35442p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/35442j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2168&law_suit_year=2562&deed_no=35442&addrno=234/161
5 - 1,ผบ.1058/2565,75714,ที่ดินพร้อมสิ่งปลูกสร้าง,19.6,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1352180,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,1352180,https://asset.led.go.th/PPKPicture/2567/03-2567/29/75714p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/75714j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1058&law_suit_year=2565&deed_no=75714&addrno=152/214
5 - 1,ผบE.73/2565,153337,ที่ดินพร้อมสิ่งปลูกสร้าง,20,0,0,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1000464,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,1000464,https://asset.led.go.th/PPKPicture/2567/04-2567/30/153337p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/153337j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.73&law_suit_year=2565&deed_no=153337&addrno=98/22
6 - 1,ผบE.523/2565,"112365 , 112368",ห้องชุด,32.2,0,0,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,418600,2024-06-03,20240605,-,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,2,334880,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c126-15p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c126-15j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.523&law_suit_year=2565&deed_no=112365%20,%20112368&addrno=126/15"
6 - 1,ผบE.5344/2565,35155,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,775440,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,542808,https://asset.led.go.th/PPKPicture/2566/11-2566/30/35155p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/35155j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.5344&law_suit_year=2565&deed_no=35155&addrno=88/1370
6 - 1,ผบ.2700/2562,68005,ห้องชุด,32.36,0,0,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,385084,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,385084,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c102-36p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c102-36j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2700&law_suit_year=2562&deed_no=68005&addrno=102/36
6 - 1,ผบ.605/2564,7366,ที่ดินพร้อมสิ่งปลูกสร้าง,59,0,0,คลองมะเดื่อ(คลองกระทุ่มแบน),กระทุ่มแบน,สมุทรสาคร,25000,ปลอดการจำนอง,470340,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,470340,https://asset.led.go.th/PPKPicture/2567/04-2567/30/7366p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/7366j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.605&law_suit_year=2564&deed_no=7366&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
